module_name,classifications,status,strong_target_hits,composite_target_hits,exact_source_files,build_mentions,mt6878_context_hits,strong_examples,composite_examples,source_examples,mt6878_examples
6lowpan,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
8021q,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
8250_mtk,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/tty/serial/8250/8250_mtk.c,
adapter_class,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/power/supply/adapter_class.c,
adsp,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,46,3,,,,"device_modules/sound/soc/mediatek/mt6878/Makefile:8:# adsp include path || device_modules/drivers/clk/mediatek/Kconfig:261:tristate ""Clock driver for MediaTek MT6878 adsp"" || device_modules/drivers/clk/mediatek/Kconfig:264:This driver supports MediaTek MT6878 adsp clocks,"
aee_aed,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
aee_hangdet,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
aee_rs,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/aee/aed/aee_rs.c,
apu_top,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
apusys,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,78,3,,,,"device_modules/drivers/misc/mediatek/apusys/Makefile:248:ifneq ($(wildcard $(DEVICE_MODULES_PATH)/drivers/misc/mediatek/apusys/apusys_rv/2.0/mt6878_plat.c),) || device_modules/drivers/misc/mediatek/apusys/power/Makefile:44:ifneq ($(wildcard $(DEVICE_MODULES_PATH)/drivers/misc/mediatek/apusys/power/3.0/platform/mt6878_aputop.c),) || device_modules/drivers/misc/mediatek/apusys/power/Makefile:49:ifneq ($(wildcard $(DEVICE_MODULES_PATH)/drivers/misc/mediatek/apusys/power/3.0/platform/mt6878_pwr_func.c),)"
aqc111,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
arm_dsu_pmu,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
asix,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
atf_logger,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
audio_ipi,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,13,1,,,device_modules/drivers/misc/mediatek/audio_ipi/common/audio_ipi.c,device_modules/sound/soc/mediatek/mt6878/Makefile:9:ccflags-y += -I$(DEVICE_MODULES_PATH)/drivers/misc/mediatek/audio_ipi/include
aw36515,NEEDS_ULEFONE_PORT,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
aw36518,NEEDS_ULEFONE_PORT,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
aw36518_v2,NEEDS_ULEFONE_PORT,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
aw883xx_driver,NEEDS_ULEFONE_PORT,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ax88179_178a,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
backlight_cooling,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/thermal/mediatek/backlight_cooling.c,
blocktag,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,6,0,,,,
bluetooth,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,2,0,,,,
board_temp,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/thermal/mediatek/board_temp.c,
bootprof,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,5,0,,,device_modules/drivers/misc/mediatek/mtprof/bootprof.c,
bsd_comp,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
bt_drv_6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
btbcm,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
btqca,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
btsdio,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
bus_parity,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
c2k_usb,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,1,0,,,,
c2k_usb_f_via_atc,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
c2k_usb_f_via_ets,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
c2k_usb_f_via_modem,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
c2ps_perf_ioctl,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,kernel_modules/mtkcam/sched/c2ps_ioctl/c2ps_perf_ioctl.c,
cache_parity,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
camera_af_media,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
camera_dpe_isp7sp,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,1,0,,,,
camera_eeprom_v4l2,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
